description,industry,level,size,line_code,value,Unit,Footnotes
Percentage of employees that trained in trade related skills: 51-75%,Finance,2,total,C3102.04,12,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 51-75%,Insurance,2,total,C3102.04,6,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 51-75%,Auxiliary,2,total,C3102.04,57,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 51-75%,"Rental, hiring, & real estate services",1,total,C3102.04,129,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 51-75%,"Professional, scientific, & technical services",1,total,C3102.04,363,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 51-75%,Computer systems design,2,total,C3102.04,51,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 51-75%,Other professional scientific,2,total,C3102.04,315,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 51-75%,Administrative & support services,1,total,C3102.04,243,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 51-75%,Education & training,1,total,C3102.04,75,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 51-75%,Health care & social assistance,1,total,C3102.04,423,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 51-75%,Arts & recreation services,1,total,C3102.04,63,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 51-75%,Other services,1,total,C3102.04,225,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 51-75%,total,0,total,C3102.04,5793,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,total,0,6–19 employees,C3102.05,5706,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in trade related skills: 76-100%,total,0,20–49 employees,C3102.05,1020,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in trade related skills: 76-100%,total,0,50–99 employees,C3102.05,264,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in trade related skills: 76-100%,total,0,100+ employees,C3102.05,156,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in trade related skills: 76-100%,"Agriculture, forestry, & fishing",1,total,C3102.05,471,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Agriculture,2,total,C3102.05,276,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Commercial fishing,2,total,C3102.05,6,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Forestry & logging,2,total,C3102.05,75,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,"Agriculture, forestry, & fishing support services",2,total,C3102.05,114,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Mining,1,total,C3102.05,12,Number of businesses,1 and 2 and 3 and 5 and 6
Percentage of employees that trained in trade related skills: 76-100%,Manufacturing,1,total,C3102.05,495,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,"Food, beverage, & tobacco",2,total,C3102.05,39,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,"Textile, clothing, footwear, & leather",2,total,C3102.05,15,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Wood & paper product,2,total,C3102.05,18,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,"Printing, publishing, & recorded media",2,total,C3102.05,6,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,"Petroleum, coal, chemical, & associated product",2,total,C3102.05,36,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Non-metallic mineral product,2,total,C3102.05,39,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Metal product,2,total,C3102.05,156,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Transport and industrial machinery & equipment,2,total,C3102.05,135,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Other machinery & equipment,2,total,C3102.05,27,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Other manufacturing,2,total,C3102.05,21,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,"Electricity, gas, water, & waste services",1,total,C3102.05,36,Number of businesses,1 and 2 and 3 and 5 and 6
Percentage of employees that trained in trade related skills: 76-100%,Construction,1,total,C3102.05,2025,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Wholesale trade,1,total,C3102.05,234,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Machinery & equipment wholesaling,2,total,C3102.05,72,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Other wholesale trade,2,total,C3102.05,159,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Retail trade,1,total,C3102.05,726,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Accommodation & food services,1,total,C3102.05,528,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,"Transport, postal, & warehousing",1,total,C3102.05,120,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Information media & telecommunications,1,total,C3102.05,27,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Publishing,2,total,C3102.05,3,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Motion picture,2,total,C3102.05,21,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Telecommunications,2,total,C3102.05,3,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Financial & insurance services,1,total,C3102.05,111,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Finance,2,total,C3102.05,15,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Insurance,2,total,C3102.05,3,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Auxiliary,2,total,C3102.05,96,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,"Rental, hiring, & real estate services",1,total,C3102.05,159,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,"Professional, scientific, & technical services",1,total,C3102.05,690,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Computer systems design,2,total,C3102.05,51,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Other professional scientific,2,total,C3102.05,642,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Administrative & support services,1,total,C3102.05,264,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Education & training,1,total,C3102.05,252,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Health care & social assistance,1,total,C3102.05,642,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Arts & recreation services,1,total,C3102.05,123,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,Other services,1,total,C3102.05,225,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: 76-100%,total,0,total,C3102.05,7149,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,total,0,6–19 employees,C3102.06,2238,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in trade related skills: don't know,total,0,20–49 employees,C3102.06,468,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in trade related skills: don't know,total,0,50–99 employees,C3102.06,192,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in trade related skills: don't know,total,0,100+ employees,C3102.06,240,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in trade related skills: don't know,"Agriculture, forestry, & fishing",1,total,C3102.06,207,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Agriculture,2,total,C3102.06,126,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Commercial fishing,2,total,C3102.06,3,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Forestry & logging,2,total,C3102.06,15,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,"Agriculture, forestry, & fishing support services",2,total,C3102.06,66,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Mining,1,total,C3102.06,3,Number of businesses,1 and 2 and 3 and 5 and 6
Percentage of employees that trained in trade related skills: don't know,Manufacturing,1,total,C3102.06,282,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,"Food, beverage, & tobacco",2,total,C3102.06,78,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,"Textile, clothing, footwear, & leather",2,total,C3102.06,6,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Wood & paper product,2,total,C3102.06,24,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,"Printing, publishing, & recorded media",2,total,C3102.06,3,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,"Petroleum, coal, chemical, & associated product",2,total,C3102.06,54,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Non-metallic mineral product,2,total,C3102.06,6,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Metal product,2,total,C3102.06,48,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Transport and industrial machinery & equipment,2,total,C3102.06,48,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Other machinery & equipment,2,total,C3102.06,12,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Other manufacturing,2,total,C3102.06,9,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,"Electricity, gas, water, & waste services",1,total,C3102.06,18,Number of businesses,1 and 2 and 3 and 5 and 6
Percentage of employees that trained in trade related skills: don't know,Construction,1,total,C3102.06,234,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Wholesale trade,1,total,C3102.06,285,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Machinery & equipment wholesaling,2,total,C3102.06,99,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Other wholesale trade,2,total,C3102.06,183,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Retail trade,1,total,C3102.06,270,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Accommodation & food services,1,total,C3102.06,777,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,"Transport, postal, & warehousing",1,total,C3102.06,96,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Information media & telecommunications,1,total,C3102.06,57,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Publishing,2,total,C3102.06,24,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Motion picture,2,total,C3102.06,15,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Telecommunications,2,total,C3102.06,18,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Financial & insurance services,1,total,C3102.06,81,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Finance,2,total,C3102.06,27,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Insurance,2,total,C3102.06,3,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Auxiliary,2,total,C3102.06,51,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,"Rental, hiring, & real estate services",1,total,C3102.06,87,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,"Professional, scientific, & technical services",1,total,C3102.06,354,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Computer systems design,2,total,C3102.06,117,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Other professional scientific,2,total,C3102.06,240,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Administrative & support services,1,total,C3102.06,69,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Education & training,1,total,C3102.06,72,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Health care & social assistance,1,total,C3102.06,183,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Arts & recreation services,1,total,C3102.06,6,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,Other services,1,total,C3102.06,48,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in trade related skills: don't know,total,0,total,C3102.06,3138,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,total,0,6–19 employees,C3103.01,11874,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in management / supervisory skills: zero,total,0,20–49 employees,C3103.01,1995,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in management / supervisory skills: zero,total,0,50–99 employees,C3103.01,351,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in management / supervisory skills: zero,total,0,100+ employees,C3103.01,123,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in management / supervisory skills: zero,"Agriculture, forestry, & fishing",1,total,C3103.01,1401,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Agriculture,2,total,C3103.01,855,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Commercial fishing,2,total,C3103.01,24,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Forestry & logging,2,total,C3103.01,111,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,"Agriculture, forestry, & fishing support services",2,total,C3103.01,408,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Mining,1,total,C3103.01,36,Number of businesses,1 and 2 and 3 and 5 and 6
Percentage of employees that trained in management / supervisory skills: zero,Manufacturing,1,total,C3103.01,1833,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,"Food, beverage, & tobacco",2,total,C3103.01,372,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,"Textile, clothing, footwear, & leather",2,total,C3103.01,72,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Wood & paper product,2,total,C3103.01,186,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,"Printing, publishing, & recorded media",2,total,C3103.01,72,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,"Petroleum, coal, chemical, & associated product",2,total,C3103.01,126,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Non-metallic mineral product,2,total,C3103.01,60,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Metal product,2,total,C3103.01,369,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Transport and industrial machinery & equipment,2,total,C3103.01,351,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Other machinery & equipment,2,total,C3103.01,69,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Other manufacturing,2,total,C3103.01,150,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,"Electricity, gas, water, & waste services",1,total,C3103.01,45,Number of businesses,1 and 2 and 3 and 5 and 6
Percentage of employees that trained in management / supervisory skills: zero,Construction,1,total,C3103.01,2823,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Wholesale trade,1,total,C3103.01,906,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Machinery & equipment wholesaling,2,total,C3103.01,324,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Other wholesale trade,2,total,C3103.01,579,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Retail trade,1,total,C3103.01,1425,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Accommodation & food services,1,total,C3103.01,1278,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,"Transport, postal, & warehousing",1,total,C3103.01,522,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Information media & telecommunications,1,total,C3103.01,114,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Publishing,2,total,C3103.01,48,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Motion picture,2,total,C3103.01,33,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Telecommunications,2,total,C3103.01,27,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Financial & insurance services,1,total,C3103.01,147,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Finance,2,total,C3103.01,39,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Insurance,2,total,C3103.01,0,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Auxiliary,2,total,C3103.01,108,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,"Rental, hiring, & real estate services",1,total,C3103.01,261,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,"Professional, scientific, & technical services",1,total,C3103.01,1467,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Computer systems design,2,total,C3103.01,213,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Other professional scientific,2,total,C3103.01,1254,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Administrative & support services,1,total,C3103.01,537,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Education & training,1,total,C3103.01,258,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Health care & social assistance,1,total,C3103.01,621,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Arts & recreation services,1,total,C3103.01,141,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,Other services,1,total,C3103.01,528,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: zero,total,0,total,C3103.01,14346,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,total,0,6–19 employees,C3103.02,11481,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,total,0,20–49 employees,C3103.02,4566,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,total,0,50–99 employees,C3103.02,1488,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,total,0,100+ employees,C3103.02,1344,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,"Agriculture, forestry, & fishing",1,total,C3103.02,987,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Agriculture,2,total,C3103.02,660,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Commercial fishing,2,total,C3103.02,9,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Forestry & logging,2,total,C3103.02,87,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,"Agriculture, forestry, & fishing support services",2,total,C3103.02,231,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Mining,1,total,C3103.02,54,Number of businesses,1 and 2 and 3 and 5 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Manufacturing,1,total,C3103.02,2139,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,"Food, beverage, & tobacco",2,total,C3103.02,435,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,"Textile, clothing, footwear, & leather",2,total,C3103.02,99,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Wood & paper product,2,total,C3103.02,213,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,"Printing, publishing, & recorded media",2,total,C3103.02,51,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,"Petroleum, coal, chemical, & associated product",2,total,C3103.02,174,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Non-metallic mineral product,2,total,C3103.02,108,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Metal product,2,total,C3103.02,405,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Transport and industrial machinery & equipment,2,total,C3103.02,441,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Other machinery & equipment,2,total,C3103.02,93,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Other manufacturing,2,total,C3103.02,123,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,"Electricity, gas, water, & waste services",1,total,C3103.02,87,Number of businesses,1 and 2 and 3 and 5 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Construction,1,total,C3103.02,2739,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Wholesale trade,1,total,C3103.02,1089,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Machinery & equipment wholesaling,2,total,C3103.02,351,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Other wholesale trade,2,total,C3103.02,738,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Retail trade,1,total,C3103.02,1998,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Accommodation & food services,1,total,C3103.02,2622,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,"Transport, postal, & warehousing",1,total,C3103.02,849,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Information media & telecommunications,1,total,C3103.02,144,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Publishing,2,total,C3103.02,36,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Motion picture,2,total,C3103.02,57,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Telecommunications,2,total,C3103.02,51,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Financial & insurance services,1,total,C3103.02,267,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Finance,2,total,C3103.02,72,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Insurance,2,total,C3103.02,18,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Auxiliary,2,total,C3103.02,180,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,"Rental, hiring, & real estate services",1,total,C3103.02,294,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,"Professional, scientific, & technical services",1,total,C3103.02,2202,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Computer systems design,2,total,C3103.02,426,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Other professional scientific,2,total,C3103.02,1779,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Administrative & support services,1,total,C3103.02,795,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Education & training,1,total,C3103.02,513,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Health care & social assistance,1,total,C3103.02,1521,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Arts & recreation services,1,total,C3103.02,183,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,Other services,1,total,C3103.02,390,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 1-25%,total,0,total,C3103.02,18879,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,total,0,6–19 employees,C3103.03,3222,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,total,0,20–49 employees,C3103.03,981,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,total,0,50–99 employees,C3103.03,306,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,total,0,100+ employees,C3103.03,318,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,"Agriculture, forestry, & fishing",1,total,C3103.03,243,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Agriculture,2,total,C3103.03,144,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Commercial fishing,2,total,C3103.03,3,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Forestry & logging,2,total,C3103.03,6,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,"Agriculture, forestry, & fishing support services",2,total,C3103.03,93,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Mining,1,total,C3103.03,15,Number of businesses,1 and 2 and 3 and 5 and 6
